,店內開盒遊戲列表,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,租金,分類,標籤1,標籤2,標籤3,貼紙,圖片,教學,出處,玩家模式,遊戲簡介,到貨日
夾豆子,ㄐ,DAISO Chopstick Bean Grabbing Game Chopstick Training,日,2,F5,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,500,50,雙人,體感,,,綠色,v,,,輕鬆,,
螢火叢,ㄧ,Firefly,中,2-4,J6,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,250,50,小品,記憶,,,綠色,v,,,輕鬆,,
害你在心口難開,ㄏ,N/A,中,3-8,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,300,50,派對,心機,吹牛,,綠色,v,https://youtu.be/xLo--m6ced4?si=d57xmZGFiG2fVJTO,逸馬的桌遊小教室,輕鬆,,
扇子狼人殺,ㄕ,N/A,中,3-8,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,580,100,陣營,心機,吹牛,,綠色,v,https://youtu.be/eoK2BnO4gJI?si=qMsInliMIqADxgZV,逸馬的桌遊小教室,動腦,,
狼人殺2020官方限定版,ㄌ,N/A,中,8-18,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,880,100,陣營,心機,吹牛,,綠色,v,,,動腦,,
狼人魔幻科技標準版,ㄌ,N/A,中,8-18,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,450,50,陣營,心機,吹牛,,綠色,v,,,動腦,,
咖啡烘焙師,ㄎ,Coffee Roaster,中,1,F5,7.4,1,10-30,2.11,https://boardgamegeek.com/boardgame/196526/coffee-roaster,烏嘎嘎,,880,100,策略,單人,袋抽,,黃色,v,,,超燒腦,單人袋子構築遊戲，將不同品種咖啡豆放入袋中，每輪盲抽推進烘焙度，需同時剔除煙燻豆與焦豆。各品種有各自理想烘焙點，且豆子間烘焙度要均勻才能高分，最終杯測計分，目標成為「咖啡大師」。,
星期五,ㄒ,Friday,中,1,F5,7.2,1,25,2.13,https://boardgamegeek.com/boardgame/43570/Friday,烏嘎嘎,,690,100,策略,單人,純卡牌,牌庫構築,黃色,v,,,超燒腦,你是住在荒島上的星期五，魯濱遜來到你的小島，一開始他並沒有太多求生技巧，你要幫助他去面對各種冒險。每次戰鬥的勝利，都會增強他的能力，失敗則會讓他擺脫一些惡習。然而，在孤島上的生活是很磨人的，所以魯濱遜也會老化而且變得笨拙。在本遊戲中，魯濱遜牌庫代表他的各種行為，你要收集更好的卡牌來改善這組牌庫，以幫助魯濱遜在遊戲最後對抗難纏的海盜，重歸文明世界！在這款單人冒險遊戲中，只有你才能贏得最後勝利！,
思路：和風庭園,ㄙ,Brains Japanese Garden,中,1,F5,6.2,1,15,1.17,https://boardgamegeek.com/boardgame/244948/brains-family-burgen-and-drachen,烏嘎嘎,,500,50,抽象,單人,拼圖,,綠色,v,,,動腦,2-4人同步解謎競賽，每輪翻出冒險卡顯示龍與城堡的位置，所有人同時搶著在個人板上擺放板塊，最快拼出連通路線者得分。規則直覺、節奏明快，考驗空間推理與反應速度。,
三視數謎,ㄙ,N/A,中,1,F5,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,550,100,抽象,單人,,,綠色,v,,,動腦,,
數羊,ㄕ,Shephy,日,1,K5,6.8,1,15,1.5,https://boardgamegeek.com/boardgame/150016/shephy,烏嘎嘎,,750,100,小品,單人,純卡牌,,綠色,v,,,動腦,"單人紙牌遊戲，玩家從1隻羊開始，管理22張事件卡，在翻完三輪事件牌堆前將羊群增至1000隻。羊牌數值有1,3,10,30,100,300,1000，每回合你選擇一張事件卡執行效果，可複製、交換或移除羊隻。若三輪後未達1000隻或場上無羊則失敗。",
數獨,ㄕ,Sudoku,日,1,L7,4.7,1,20,1.67,https://boardgamegeek.com/boardgame/20801/sudoku,烏嘎嘎,,1300,150,抽象,單人,,,綠色,v,,,動腦,經典數字邏輯謎題。在9×9的方格中，依提示數字推理出所有空格，使每一行、每一列及每個3×3宮格內皆包含1到9的數字各一次，不重複。,
Pyramid Arcade,N/A,Pyramid Arcade,英,1-10,2F,8,"2,4",5-180,2.4,https://boardgamegeek.com/boardgame/187988/pyramid-arcade,烏嘎嘎,,3000,300,抽象,棋類,牌類,邏輯推理,紅色,,,,動腦,22款遊戲的桌遊合集，以Looney Pyramids彩色金字塔配件（三種大小、可互相堆疊，共90顆）為媒介。收錄陣營、抽象、策略等多種風格，同一套配件可玩出截然不同的體驗。,
骰寫特魯瓦,ㄕ,Troyes Dice,中,1-10,J5,7.1,1-2,20-30,2.32,https://boardgamegeek.com/boardgame/284584/troyes-dice,烏嘎嘎,,950,100,紙筆,骰寫,,,綠色,,,,超燒腦,《骰寫特魯瓦》帶你回到中世紀法國香檳地區，扮演富庶家族在有限回合內爭取不朽印記。每顆骰子落下都牽動貴族、平民、教會三條路線的取捨——想拿的太多、能做的太少，那股「再一步就能串起連鎖」的拉扯感，讓短短二十分鐘充滿思考密度。圖示清晰、語言門檻極低，適合喜歡在緊湊框架中反覆琢磨最優解的家庭策略玩家。,
歡迎來到…,ㄏ,Welcome To…,中,1-100,J5,7.6,3-4,25,1.83,https://boardgamegeek.com/boardgame/233867/welcome,烏嘎嘎,,850,100,紙筆,純卡牌,,,綠色,v,https://youtu.be/Wg68v_L7r78?si=HeFwyn6mQ8qXE1Vf,勃根地桌遊,動腦,紙筆遊戲，翻牌取代擲骰。每輪翻出三組「數字＋效果」讓全員同時選用，在個人表格上填入房號並啟動效果。根據詔書完成特定住宅佈局得分，同步進行、無須等待，適合大人數一起玩。,
王國製圖師,ㄨ,Cartographers: A Roll Player Tale,中,1-100,J5,7.7,3-4,30-45,1.89,https://boardgamegeek.com/boardgame/263918/cartographers,烏嘎嘎,,1350,150,紙筆,純卡牌,台灣國產,,綠色,v,,,動腦,1-4人紙筆地圖繪製遊戲，每輪翻牌決定要填的地形，在個人地圖上規劃連貫區域最大化分數。每季公告新的評分法則，計分方向不斷變化。偶爾有怪物入侵破壞邊界格，需靈活應對。,
阿勒農場,ㄚ,Fields of Arle,英,1-2,D2,8.2,2,60-120,3.91,https://boardgamegeek.com/boardgame/159675/fields-arle,烏嘎嘎,,,,策略,重策,工人擺放,,紅色,,https://www.youtube.com/watch?v=ghSbPPuSlXk,烏嘎嘎桌遊,超燒腦,Uwe Rosenberg 的1-2人重策農場遊戲，以工人放置驅動農耕、畜牧與亞麻製造。夏冬季節切換帶來不同行動選項，建築升級與資源管理環環相扣，策略深度高，每局約需三小時。,
塔羅說書人,ㄊ,Tarot Storia,日,1-2,F3,6.5,1,10,1.2,https://boardgamegeek.com/boardgame/186767/shahrazad,烏嘎嘎,,,,小品,,,,紅色,,,,,1-2人接龍式卡牌遊戲，出牌需接在已有牌旁，顏色或數字相鄰才成立。同色三連或特定組合可開啟夢境之門。手牌與牌庫有限，在空間耗盡前完成目標才算勝利，規則簡單但耐人尋味。,
夢中迷情,ㄇ,Onirim,英,1-2,F3,6.7,1,15,1.65,https://boardgamegeek.com/boardgame/71836/onirim,烏嘎嘎,,,,小品,單人,,,綠色,,,,,1-2人合作卡牌遊戲，夢行者在夢境迷宮中尋找8扇門。輪流出牌製造顏色序列觸發夢門，同時管理手牌、阻擋惡夢。在夢境時間耗盡前找齊所有門才算勝利，規則精簡、緊張感強。,
九局下半,ㄐ,Bottom of the 9th,中,2,F5,6.8,2,5-20,1.7,https://boardgamegeek.com/boardgame/166286/bottom-9th,烏嘎嘎,,750,100,雙人,,,,綠色,,,,,將棒球九局下半最後三個出局數濃縮進5-20分鐘桌上遊戲。投手暗選球路，打者讀球判斷揮棒時機，以骰子決定成果。雙方皆面臨短期安全vs長期進逼的拉鋸。含聯賽與單人模式。,
